,Shows,Description,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,OTHER TAGS,episode 1,episode 2,episode 3,epsiode 4,episode 5,,
,Factory to Factory,"From Warhol's Factory to Factory Records to the abandoned factories that raves take place, this show will encompass the music inspired by these places. Listen to me connect the dots between art rock, post-punk, 80s goth, synth pop, rave, techno and experimental electronics.",TECHNO,ELECTRONIC,POST PUNK,SYNTH POP,EXPERIMENTAL,AMBIENT,http://www.newtownradio.com/show-archive/factory-to-factory-ep-7-82519/,http://www.newtownradio.com/show-archive/factory-to-factory-ep-8-102019/,http://www.newtownradio.com/show-archive/factory-to-factory-ep-9-110319/,http://www.newtownradio.com/show-archive/factory-to-factory-ep-10-111719/,http://www.newtownradio.com/show-archive/factory-to-factory-ep-11-120119/,,
,Fizz Pop,"Fizz Pop surfs global hits and misses of pop, new wave, oldies and indie across decades, digging deep down to the center of ooey gooey groove goodness.",INDIE POP,GIRL GROUPS,FUNK,80S,SURF ROCK,NEW WAVE,http://www.newtownradio.com/show-archive/fizz-pop-ep-6-12119/,http://www.newtownradio.com/show-archive/fizz-pop-ep-11-40419/,http://www.newtownradio.com/show-archive/fizz-pop-ep-19-62019/,http://www.newtownradio.com/show-archive/fizz-pop-ep-22-72519/,http://www.newtownradio.com/show-archive/fizz-pop-ep-23-81519/,,
,FULL FLEX,SOUNDSYSTEM CULTURE FROM UK CLASSICS TO CONTEMPORARY BASSWEIGHT,HOUSE,DUBSTEP,EARLY 2000S,ELECTRONIC,,,,,,,,,
,Gimme Tinnitus Radio Time,"GIMME TINNITUS Radio Time is the bi-weekly Newtown Radio show of the GIMME TINNITUS mp3 blog. It's a two hour chunk of the songs that have been stuck in the head of GIMME TINNITUS editor Bob Reich. Sometimes there are guests, sometimes not. https://gimmetinnit.us/",PUNK,INDIE ROCK,EXPERIMENTAL,ELECTRONIC,POST PUNK,METAL,Best of 2018: http://www.newtownradio.com/show-archive/gimme-tinnitus-radio-time-best-of-2018-123018/,The closed venues show with Ben (Aviv) and Peter (ABC No Rio): http://www.newtownradio.com/show-archive/gimme-tinnitus-radio-time-11418/,Cassette Set + Walter Wlodarczyk: http://www.newtownradio.com/show-archive/gimme-tinnitus-radio-time-120317/,PILL: http://www.newtownradio.com/show-archive/gimme-tinnitus-radio-time-73116/,Dead Tenants + Smhoak Mosheein: www.newtownradio.com/show-archive/gimme-tinnitus-radio-time-71518/,,
,Glass Bead Program,"DJ Joe Knecht of Future Punx brings you a bi-weekly lunchtime freeform upbeat party block, connecting the dots from style to style, with emphasis on old school house, downtempo, psychedelic jam bands and much in between along the way. ",HOUSE,PSYCHEDELIC,POST PUNK,AMBIENT,CLASSIC ROCK,JAM,,,,,,,
,Glossy Logic,"Most millennials will never own property or retire with a 401k–we’re stuck in late adolescence, obsessing over our teen years and waiting for an adulthood that isn’t coming. Every other week, Zayn creates a hypothetical coming-of-age film and each show is the soundtrack to said non-existent film with narrations of the story woven throughout.",POST PUNK,WORLD,NO WAVE,PUNK,ART/CINEMA TALK,LEFTFIELD,https://www.newtownradio.com/show-archive/glossy-logic-ep-10-iscariot-82819/,https://www.newtownradio.com/show-archive/glossy-logic-ep-4-love-vigilantes-52119/,https://www.newtownradio.com/show-archive/glossy-logic-ep-3-jimmys-got-a-gun-50819/,https://www.newtownradio.com/show-archive/glossy-logic-ep-5-family-juuls-60519/,https://www.newtownradio.com/show-archive/glossy-logic-ep-8-pervert-71719/,,
,GOOD VIBES,"A show that dedicates making your day better with new and old releases. Bringing you some spanish flares, shoegaze vibes, and all in between. ",DREAMPOP,INDIE ROCK,SHOEGAZE,SYNTH POP,INDIE POP,,http://www.newtownradio.com/show-archive/good-vibes-ep-2-20519/,http://www.newtownradio.com/show-archive/good-vibes-ep-8-52119/,http://www.newtownradio.com/show-archive/good-vibes-ep-9-61819/,http://www.newtownradio.com/show-archive/good-vibes-ep-11-73019/,http://www.newtownradio.com/show-archive/good-vibes-ep-14-82719/,,
,"Graham show - name (""The Interstice"")","The Interstice is a time to explore hip hop, funk, and the space in between. Occassional color commentary will be provided by DJ Dollar Slice and DJ Hey How Are Ya.",HIP HOP,FUNK,INDIE HIP HOP/R&B,ELECTRONIC,CLASSIC HIP-HOP,,,,,,,,
,here,An aural experiment within the possibilities of sound. An homage to freeform radio. A moment to let go of expectations. Hearing the classic and the future alike.,AMBIENT,EXPERIMENTAL,ELECTRONIC,PSYCHEDELIC,,,http://www.newtownradio.com/show-archive/here-ep78-82519/,http://www.newtownradio.com/show-archive/here-ep77-81119/,http://www.newtownradio.com/show-archive/here-ep76-71419/,http://www.newtownradio.com/show-archive/here-ep75-63019/,http://www.newtownradio.com/show-archive/here-ep74-60219/,,
,Hone,"Hone is a free twice-weekly DJ workshop hosted by Lenora and Masha and streaming live at Newtown Radio. Listen live to the newest DJs in NYC and discover new talent and sounds.

Hone is a space for us to share the art and history of mixing and provide a place for everyone to learn and practice their skills in a casual, supportive, one-on-one environment. Hone is open to all ages and experience levels. We have four, 1 hour-long sessions available each week on Friday and Saturday afternoons, to provide space for practice, recording mixes, and learning turntables or CDJs.

Book sessions online at our website: http://hone.social
 
Lenora is an art director and designer who DJs under the name Circe. Lenora also runs SISTER: a virtual collective women and gender non-conforming  electronic music enthusiasts working to make the industry an equal place. Lenora teaches on Saturdays at Hone.
Ma Sha is a Moscow-born and Brooklyn-based DJ and producer. She is a co-founder of Kindergarten, an event series and show on Newtown Radio. Masha teaches on Fridays at Hone.
",ELECTRONIC,HOUSE,TECHNO,EXPERIMENTAL,AMBIENT,"WORKSHOP, COMMUNITY",,,,,,,
,House of Feelings,"Every other Wednesday night, join the House of Feelings crew for disco and house vibes. House of Feelings is a record label that focuses on dance music but is open to all types of sounds. Loose and freewheeling, our shows consist of interviews and dj sets. ",DISCO,HOUSE,ELECTRONIC,,,,,,,,,,
,I Have Always Found You Extremely Attractive,"""...But most important, this archival responsibility enables the performer to establish a contact with a work which is very much like that of the composer's own relation to it.  It permits him to encounter a particular piece of music and to analyze and dissect it in a most thorough way, to make it a vital part of his life for a relatively brief period, and then to pass on to some other challange and to the satisfaction of some other curiosity.  Such a work will no longer confront him with a daily challange."" -Glenn Gould, The Prospects of Recording",YACHT ROCK,DREAMPOP,EXPERIMENTAL,ITALO DISCO,MOTOWN,LOVE,http://www.newtownradio.com/show-archive/i-have-always-found-you-extremely-attractive-11319/,http://www.newtownradio.com/show-archive/i-have-always-found-you-extremely-attractive-12719/,http://www.newtownradio.com/show-archive/i-have-always-found-you-extremely-attractive-71419/,http://www.newtownradio.com/show-archive/i-have-always-found-you-extremely-attractive-21719/,http://www.newtownradio.com/show-archive/i-have-always-found-you-extremely-attractive-51219/,,
,JASS,"Hosted every other Monday by label founder Time Wharp, JASS presents a mix of new & notable sounds from the experimental field in the spirit of freeform radio, and regional music from around the world. Guests & friends of the label share their latest with conversations on local, national & international issues. Radio creates a wealth of community, connection and the simple pleasures of mystery and anticipation. Listen carefully & discover YOUR experience. Join & Enjoy!",EXPERIMENTAL,ELECTRONIC,ISSUES TALK,WORLD,AMBIENT,,http://www.newtownradio.com/show-archive/jass-radio-ep-63-w-sam-ob-72219/,http://www.newtownradio.com/show-archive/jass-radio-ep-62-w-judah-rubin-62419/,http://www.newtownradio.com/show-archive/jass-radio-ep-61-w-crystal-penalosa-61019/,http://www.newtownradio.com/show-archive/jass-radio-ep-60-w-dj-sanna-51319/,http://www.newtownradio.com/show-archive/jass-radio-ep-59-42919/,,
,Jazz & AWOL,"Bob Mack serves up a musical amuse bouche of punk, indie, post-punk and new wave leaning tunes with call-ins and stories from recent shows around New York and beyond.",POST PUNK,CONCERT TALK,INDIE ROCK,NEW WAVE,GARAGE ROCK,,https://www.newtownradio.com/show-archive/jazz-awol-ep-3-82419/,https://www.newtownradio.com/show-archive/jazz-awol-ep-2-72119/,https://www.newtownradio.com/show-archive/jazz-and-awol-ep-1-70719/,,,,
,Joy Supply,"Joy Supply is a late-night caffeine punch from another galaxy; a blanket of sound stretching in ways each night its own. Led by Bushwick resident Nick Ludwig, this bi-weekly mix series carves its own intertwining paths of disco, house, and anything in between to give your feet one last chance to boogie before bed. Bookings at joysupplymusic@gmail.com",HOUSE,DISCO,ELECTRONIC,TECHNO,BOOGIE,"ITALO DISCO, BALEARIC",,,,,,,
,KDJ Wave,,,,,,,,,,,,,,
,Let's Go Swimming,"Bobby brings you machine music, old and new. Balearic disco, dusty house, boogie funk, post-punk, italo, ambient, and other records that wash up.",DISCO,HOUSE,BOOGIE,AMBIENT,ACID,BALEARIC,http://www.newtownradio.com/show-archive/lets-go-swimming-73119/,http://www.newtownradio.com/show-archive/lets-go-swimming-50819/,http://www.newtownradio.com/show-archive/lets-go-swimming-81419/,http://www.newtownradio.com/show-archive/lets-go-swimming-91819/,http://www.newtownradio.com/show-archive/lets-go-swimming-30619/,,
,Let's See What Happens,A bi-weekly show hosted by DJ Fernelly & Friends,FUNNY TALK,AFROBEATS,AMBIENT,ART/CINEMA TALK,WORLD,"FOLK, ROCK, KRAUT",,,,,,,
,Life on Mars,,,,,,,,,,,,,,
,Luxury Fetish Radio,"Hosted by Charles Norwood, featuring guests from around the city.",HOUSE,TECHNO,ACID,ELECTRONIC,WORLD,,,,,,,,
,Mad Soft with Super Tuff,Anything with heart from jazz to techno with Super Tuff Records.,HOUSE,TECHNO,ELECTRONIC,JAZZ,EXPERIMENTAL,,,,,,,,
,Mess Hall w/ 13th Hour Records,"Dance label 13th Hour Records brings you general awkwardness, whatever we’ve been listening to, and always some house music",HOUSE,INDIE ROCK,EXPERIMENTAL,FOLK,HIP HOP,"REGGAE, R&B, PUNK",http://www.newtownradio.com/show-archive/mess-hall-w-13th-hour-records-ep-7-40719/,http://www.newtownradio.com/show-archive/mess-hall-w-13th-hour-records-ep-11-50519/,http://www.newtownradio.com/show-archive/mess-hall-w-13th-hour-records-ep-12-51219/,http://www.newtownradio.com/show-archive/mess-hall-w-13th-hour-records-ep-23-91519/,http://www.newtownradio.com/show-archive/mess-hall-w-13th-hour-records-ep-24-92319/,,
,MXD SGNLS,"Brendan G brings you a vinyl mix of hip hop, jazz, soul, funk and boogie. ",HIP HOP,JAZZ,BOOGIE,FUNK,SOUL,,http://www.newtownradio.com/show-archive/mxd-sgnls-110319/,http://www.newtownradio.com/show-archive/mxd-sgnls-90819/,http://www.newtownradio.com/show-archive/mxd-sgnls-102719/,http://www.newtownradio.com/show-archive/mxd-sgnls-100619/,http://www.newtownradio.com/show-archive/mxd-sgnls-91519/,,
,Negative Pleasure,"Psychedelic, garage rock, world sounds, doom, stoner, space, sludge, kraut, art, scum, thrash, novelties & oddities, soundtracks, crime, horror, now sounds, then sounds and beyond with cultural commentary from DJ’s Harris Smith & Claire Donner",PSYCHEDELIC,HEAVY METAL,WORLD,GARAGE ROCK,ART/CINEMA TALK,"KRAUT, SPACE, DOOM, STONER, SCUM",,,,,,,
,NIGERIAN WAX RADIO: Monday Afrobeats,WAX Radio presents global Afrobeats selections curated by DJ baby XL,AFROBEATS,WORLD,DANCEHALL,EXPERIMENTAL,HOUSE,,https://www.newtownradio.com/show-archive/nigerian-wax-radio-ep-1-monday-afrobeats-91619/,,,,,,
,Nigerian Wax: Weekend Wave,"Fusion podcast merging Afrobeats music and social commentary, featuring special guests. Hosted by comedian Chillian Thomas with DJ Tana Torrent.",FUNNY TALK,AFROBEATS,WORLD,ART/CINEMA TALK,CONCERT TALK,"COMEDY, INSPIRATIONAL TALK, BUSINESS TALK, BUSINESS NEWS, CULTURAL TALK",https://www.newtownradio.com/show-archive/nigerian-wax-weekend-wave-ep-40-w-dj-tana-torrent-chillian-thomas-and-guest-mark-gregory-91319/,,,,,,
,"NO SUGAR, NO C.R.E.A.M.","NO SUGAR, NO C.R.E.A.M. plays hip-hop and r&b and other stuff that kinda sounds like hip-hop and r&b.",HIP HOP,R&B,TRAP,INDIE HIP HOP/R&B,CLASSIC HIP-HOP,,,,,,,,
,Pop & Other Drugs,"The show where all genres of music are deconstructed and reproduced to similar end results. Pop & Other Drugs explores music as a canvas; a window to the real human experience especially through the lens of music as a coping substance. The show is divided into five segments, each with its own unique sonic identity with the singular goal of showcasing the effects of drug use — euphoria, mania, crash — on the human experience. Tune in for a listening experience like none other",ELECTRONIC,R&B,LO FI,INDIE POP,INDIE HIP HOP/R&B,,https://www.newtownradio.com/show-archive/pop-and-other-drugs-ep-1-80419/,https://www.newtownradio.com/show-archive/pop-other-drugs-ep-2-stazz-and-contrast-special-81819/,https://www.newtownradio.com/show-archive/pop-other-drugs-ep-3-91519/,https://www.newtownradio.com/show-archive/pop-other-drugs-ep-4-92919/,,,
,Purely Circumstantial,"An Andy Kaufman wannabe does their best impression of Nardwuar. Interviews with strangers, not strangers, clips and bits, all powered by synchronicity. A mix of local and non-local music, genres include but not limited to: punk, post-punk, no wave, hip hop, power pop, some novelty sprinkled in. Dads are regularly featured on the show, along with Mets trivia. Figuring it out through a microphone. Here we are... purelycircumstantial.blog",NO WAVE,NEW WAVE,POST PUNK,R&B,HIP HOP,,http://www.newtownradio.com/show-archive/purely-circumstantial-ep-21-pc-returns-w-sisterly-love-42019/,http://www.newtownradio.com/show-archive/purely-circumstantial-ep-17-oof-studio-session-plus-interview-and-more-31319/,http://www.newtownradio.com/show-archive/purely-circumstantial-ep-30-more-father-daughter-bonding-90719/,http://www.newtownradio.com/show-archive/purely-circumstantial-ep-13-w-kacy-and-maya-202019/,http://www.newtownradio.com/show-archive/purely-circumstantial-ep-19-reflects-on-old-beats-and-talks-about-the-mets-32719/,,
,Radio Clash,Radio Clash: where the past and the present collide. Join DJ Shannonigans every other Sunday to connect timeless tracks to modern hits. Discover new music & find your new favorite band; dive deep into melodic nostalgia; engage in real talk; tune in for full audio ammunition… [Visit: jukeboxbully.tumblr.com for setlists & more],POST PUNK,INDIE ROCK,INDIE POP,COLLEGE,SHOEGAZE,ELECTRONIC; SOUL; OLDIES; NEW MUSIC; REAL TALK,http://www.newtownradio.com/show-archive/radio-clash-92919/,http://www.newtownradio.com/show-archive/radio-clash-70719/,http://www.newtownradio.com/show-archive/radio-clash-51219/,http://www.newtownradio.com/show-archive/radio-clash-111118/,http://www.newtownradio.com/show-archive/radio-clash-82017/,,
